Name,location,Type,Reviews,Dietary Type,Price_Range
The Capital Grille,"Madison,Alabama","American, Steakhouse ",4.5,"Gluten-Free, Nut-Free    ",$$$
Red Sushi,"Madison,Alabama",Japanese,4.6,"Vegan, Gluten-Free       ",$$
The Old Fashioned,"Madison,Alabama","American, Pub ",4.7,"Vegetarian, Vegan          ",$$
Osteria Papavero,"Madison,Alabama","Italian, Mediterranean",4.8,Vegetarian,$$$
Ahan,"Madison,Alabama","Asian ,Thai",4.7,"Vegan, Gluten-Free ,Halal",$$
Nostrano,"Madison,Alabama","Italian, European ",4.6,"Vegetarian, Gluten-Free    ",$$$
Tom Brown's Restaurant,Alabama,"American, Steakhouse ",4.5,"Gluten-Free, Nut-Free",$
Main Street Cafe ,Alabama,Mexican,4.5,"Dairy-Free, Kosher",$
Metro Diner ,Alabama,American,4.1,Kosher,$$
Waffle House  ,Alabama,American,4.5,Vegan,$$
Big Bad Breakfast,Alabama,American,4.5,"Halal,Vegan",$$
Champy's Fried Chicken,Alabama,Mexican,4.5,Halal,$$
J. Alexander's    ,Alabama,"American, Steakhouse ",4,"Gluten-Free, Nut-Free",$$
SaZa Serious Italian,Alabama,Italian,4.5,"Gluten-Free, Nut-Free",$$
Prohibition ,Alabama,"American, Bar",4.5,"Gluten-Free, Nut-Free",$$$
Super Chix ,Alabama,Mexican,4.3,"Gluten-Free, Nut-Free",$$$
I Love Sushi Express   ,Alabama,Japanese,4,Kosher,$$$
Moe's Southwest Grill ,Alabama,Mexican,4,Vegetarian,$$$
IHOP  ,Alabama,American,3.9,"Vegetarian, Vegan          ",$$$
Outback Steakh,Alabama,"American, Steakhouse ",4,"Vegetarian, Vegan          ",$$
Mr. Hui's Peacock Express,"Florence,Alabama",Chinese,4.8,Vegan,$$
YUMM Thai Sushi and Beyond,"Florence,Alabama","Thai, Japanese",4,Gluten-free,$$
Slim Chickens,"Florence,Alabama",American,4.5,Dairy-free,$$
Taziki's Mediterranean Cafe,"Florence,Alabama",European,4.1,Dairy-free,$$
Bo’s Kosher Cafe,"Florence,Alabama",Chinese,4.7,Kosher,$$
Taj India,"Birmingham,Alabama","Indian,Asian",4.9,"Vegetarian, Vegan          ",$$
Bay Leaf Modern Indian Cuisine & Bar,"Birmingham,Alabama",Indian,5,Vegan,$$
Bawarchi Indian Cuisine,"Birmingham,Alabama","Indian,Chinese",5,Gluten-free,$$
Saffron Indian Kitchen,"Birmingham,Alabama",Indian,5,Dairy-free,$$
Uru-Swati,"Chicago,Illinois",Indian  ,4.8,"Vegan,Gluten-Free  ",$$  
Arya Bhavan,Illinois,Indian  ,4.6,"Vegan,Dairy-Free  ",$$  
Shanghai Inn,Illinois,Chinese  ,4.3,Nut-Free  ,$  
Lao Sze Chuan ,Illinois,Chinese  ,4.5,Gluten-Free  ,$$  
Wasabi,Illinois,Japanese  ,4.4,"Vegan,Kosher  ",$$$  
Sunda New Asian,Illinois,Japanese  ,4.7,Dairy-Free  ,$$$  
The Purple Pig ,Illinois,Mediterranean  ,4.6,Vegetarian  ,$$  
Ema  ,Illinois,Mediterranean  ,4.5,"Gluten-Free,Vegan  ",$$  
RPM Italian  ,Illinois,Italian  ,4.7,Dairy-Free  ,$$$  
Piccolo Sogno  ,Illinois,Italian  ,4.6,Vegetarian  ,$$  
The Cheesecake Factory  ,Illinois,American  ,4.2,Nut-Free  ,$$  
Frontera Grill  ,"Chicago,Illinois",Mexican,4.5,Gluten-Free  ,$$
Green Leaf Vegan,"Chicago,Illinois",Indian,4.7,Vegan,$$
Bao Wow,"Chicago,Illinois",Chinese,4.4,"Nut-Free,Halal",$
Sakura Teppanyaki,"Chicago,Illinois",Japanese,4.6,Gluten-Free,$$$
Olive Tree Bistro,"Chicago,Illinois",Mediterranean,4.5,Vegetarian,$$
Pasta Amore,"Chicago,Illinois",Italian,4.3,"Dairy-Free,Halal",$$
The Burger Joint,"Chicago,Illinois","American,Chinese",4.2,Nut-Free,$
Taco Fiesta,"Chicago,Illinois",Mexican,4.1,"Vegetarian,Halal",$
Prairie Earth Café,Springfield,"American,European",4.3,Gluten-Free,$$
State House Eats,Springfield,"American,Chinese",4,Vegetarian,$
Lincoln's Table,Springfield,American,4.2,"Vegan,Halal",$
Route 66 Diner,Springfield,"American,European,Chinese",4.1,Nut-Free,$$
The Illinois Steakhouse,Springfield,"American,Italian",4.4,Halal,$$
Spice Nation,Springfield,Indian,4.5,Vegan & Gluten-Free,$
Dragon Palace,Illinois,Chinese,4.3,Dairy-Free,$$$
Zen Sushi,Illinois,"Japanese,Indian",4.6,"Kosher,Halal",$$
Aegean Delight,Chicago,Mediterranean,4.4,Vegetarian,$$
Roma Cucina,Chicago,"Italian,Asian",4.2,Dairy-Free,$$
Windy City Grill,Chicago,American,4.5,"Gluten-Free,Halal",$$
Moose's Tooth Pub & Pizzaria,"Anchorage,Alaska",Italian,4.7,"Vegetarian, Vegan",$$
Snow City Café,"Anchorage,Alaska",American,4.6,Gluten-Free,$$
Middle Way Café,"Anchorage,Alaska",European,4.5,"Vegan, Vegetarian",$
Yak & Yeti,"Anchorage,Alaska","Japanese,Asian",4.3,"Halal, Vegetarian",$$
Organic Oasis,"Anchorage,Alaska","Chinese,Asian",4.4,"Vegan, Gluten-Free",$$
Tokyo Sushi,"Fairbanks,Alaska","Japanese,Chinese",4.2,"Nut-Free,Kosher",$$$
Lavelle's Bistro,"Fairbanks,Alaska",Mexican,4.5,Dairy-Free,$$$
The Crepery,"Fairbanks,Alaska",Mediterranean,4.3,Vegetarian,$
Pita Place,"Juneau,Alaska",Mexican,4.6,"Halal, Gluten-Free",$$
Pel'meni,"Juneau,Alaska",Italian,4.4,"Vegetarian,Kosher",$
Chan's Thai Kitchen,"Anchorage,Alaska","Asian ,Thai",4.1,"Nut-Free, Vegan",$$
Ray's Place,"Anchorage,Alaska",Indian,4,Gluten-Free,$
Humpy's Great Alaskan Alehouse,"Anchorage,Alaska","Indian,Asian",4.3,Vegetarian Options,$$
Ginger,"Anchorage,Alaska","Indian,Asian",4.4,"Vegan, Dairy-Free",$$
Sakura Sushi,"Fairbanks,Alaska",Japanese,4.2,"Nut-Free, Gluten-Free",$
Taco King,Alaska,European,4,"Vegetarian,Vegan",$
Pho Vietnam,"Anchorage,Alaska","Asian ,Thai",4.3,"Gluten-Free,Kosher",$$
Spenard Roadhouse,"Anchorage,Alaska",American,4.5,"Vegetarian, Vegan",$$
Tracy's King Crab Shack,"Juneau, Alaska","Mexican, European",4.8,Gluten-Free,$$$
The Saltry Restaurant,"Homer, Alaska",American,4.7,Vegetarian ,$$$
The Highliner Coffee,"Sitka, Alaska","American,Italian",4.6,Vegan ,$
Bubbly Mermaid Oyster Bar,"Anchorage, Alaska","American,Chinese",4.5,Nut-Free,$$$
Crow's Nest,"Anchorage, Alaska","American,Chinese",4.7,Vegetarian,$$$$
Fletcher's,"Anchorage, Alaska","Italian, Mediterranean",4.4,Gluten-Free,$$
Jack Sprat,"Girdwood, Alaska","American, Steakhouse ",4.5,Vegetarian ,$$
Inlet Tower Restaurant,"Anchorage, Alaska",European,4.2,"Gluten-Free,Kosher",$$
The Sitzmark Bar & Grill,"Valdez, Alaska","American, Steakhouse ",4.3,Vegetarian ,$$
The Turtle Club,"Fairbanks, Alaska","American,European,Chinese",4.6,"Gluten-Free,Kosher",$$
The Pump House,"Fairbanks, Alaska",Mexican,4.5,"Gluten-Free,Kosher",$$
The Mission Old Town  ,"Scottsdale, Arizona  ",Mexican  ,4.6,"Vegetarian,Gluten-Free  ",$$$  
Toca Madera  ,"Scottsdale, Arizona  ","Mexican ,Mediterranean",4.5,"Vegetaria,Diary-Free  ",$$$  
FnB Restaurant  ,"Scottsdale, Arizona  ",American  ,4.7,"Vegetarian, Vegan  ",$$$  
Pizzeria Bianco  ,"Phoenix, Arizona  ",Italian  ,4.8,Vegetarian  ,$$  
Cafe Monarch  ,"Scottsdale, Arizona  ",European,4.9,"Gluten-Free,Halal  ",$$$$  
Binkley's Restaurant  ,"Phoenix, Arizona  ","American,Indian",4.8,"Vegetarian,Vegan  ",$$$$  
The Gladly  ,"Phoenix, Arizona  ",American  ,4.5,"Vegetarian,Gluten-Free  ",$$$  
Vecina  ,"Phoenix, Arizona  ",Mexican  ,4.6,"Vegetarian,Diary-Free   ",$$$  
Citizen Public House  ,"Scottsdale, Arizona  ",American  ,4.7,"Gluten-Free,Vegan  ",$$$  
Tarbell's  ,"Phoenix, Arizona  ",American  ,4.4,Vegetarian  ,$$$  
Bourbon Steak  ,"Scottsdale, Arizona  ",Asian,4.6,"Kosher,Halal ",$$$$  
Lon's at The Hermosa Inn  ,"Paradise Valley, Arizona  ",American  ,4.7,"Vegetarian ,Kosher",$$$$  
El Chorro  ,"Paradise Valley, Arizona  ",American  ,4.4,"Vegetarian,Gluten-Free  ",$$$  
Different Pointe of View  ,"Phoenix, Arizona  ","Indian,Asian",4.5,"Vegetarian,Diary-Free   ",$$$$  
Kai Restaurant  ,"Chandler, Arizona  ",American  ,4.8,Gluten-Free  ,$$$$  
The Stockyards Restaurant  ,"Phoenix, Arizona  ","American, Steakhouse ",4.3,"Vegan ,Kosher",$$$  
Durant's  ,"Phoenix, Arizona  ","American, Steakhouse ",4.5,"Vegetarian,Vegan",$$$  
Rokerij  ,"Phoenix, Arizona  ",Mexican,4.4,Vegetarian  ,$$$  
T. Cook's  ,"Phoenix, Arizona  ",Mediterranean  ,4.5,"Vegetarian,Gluten-Free  ",$$$  
The Parlor  ,"Phoenix, Arizona  ",Italian,4.3,"Vegetarian,Nut-Free  ",$$  
Crescent Ballroom  ,"Phoenix, Arizona  ",American  ,4.2,Vegetarian  ,$$  
The Henry  ,"Phoenix, Arizona  ",American  ,4.5,"Vegetarian,Gluten-Free  ",$$$  
Wrigley Mansion  ,"Phoenix, Arizona  ",Chinese,4.7,"Vegetarian,Gluten-Free  ",$$$$  
Terra Tempe  ,"Tempe, Arizona  ",Japanese,4.4,Vegetarian  ,$$$  
House of Tricks  ,"Tempe, Arizona  ",American  ,4.6,"Vegetarian,Vegan  ",$$$  
Cafe Roka  ,"Bisbee, Arizona  ",Japanese,4.5,"Vegetarian,Kosher ",$$$  
The Coronado  ,"Phoenix, Arizona  ",Vegetarian  ,4.3,"Vegan,Nut-Free  ",$$  
The Larder + The Delta  ,"Phoenix, Arizona  ","Mexican, European",4.4,"Vegetarian ,Kosher",$$$  
Bacanora  ,"Phoenix, Arizona  ","Mexican ,American",4.6,"Kosher,Halal   ",$$  
Barrio Café ,"Phoenix, Arizona","Mexican ,Italian",4.5,"Vegetarian,Nut-Free  ",$$ 
The Hive  ,"Bentonville, Arkansas  ",American  ,4.6,"Vegetarian,Halal  ",$$$  
Mockingbird Bar & Tacos  ,"Little Rock, Arkansas  ",Mexican  ,4.5,"Gluten-Free,Halal,Kosher ",$$  
Pantry Crest  ,"Little Rock, Arkansas  ",European  ,4.4,"Vegetarian,Vegan  ",$$  
Boulevard Bread Co.  ,"Little Rock, Arkansas  ","Italian,European  ",4.7,"Vegan,Halal  ",$  
Doe's Eat Place  ,"Little Rock, Arkansas  ","American,Steakhouse  ",4.5,Vegan ,$$$  
The Root Cafe  ,"Little Rock, Arkansas  ","American,Indian,Mediterranean   ",4.6,"Vegetarian,Vegan  ",$$  
Samantha's Tap Room & Wood Grill  ,"Little Rock, Arkansas  ","American,Mediterranean,Japanese  ",4.4,"Gluten-Free,Halal  ",$$$  
The Fold Botanas & Bar  ,"Little Rock, Arkansas  ",Mexican,4.5,"Vegetarian,Halal  ",$$  
Three Fold Noodles + Dumpling Co.  ,"Little Rock, Arkansas  ","Asian,Japanese  ",4.7,Vegetarian  ,$  
Raduno Brick Oven & Barroom  ,"Little Rock, Arkansas  ","Italian,Asian  ",4.5,"Vegetarian,Diary-Free     ",$$  
Zaza Fine Salad & Wood-Oven Pizza Co.  ,"Little Rock, Arkansas  ",Italian  ,4.6,"Vegetarian,Vegan  ",$$  
Local Lime  ,"Little Rock, Arkansas  ","Mexican,American ",4.4,"Gluten-Free,Halal  ",$$  
Big Orange  ,"Little Rock, Arkansas  ",American  ,4.5,"Vegetarian,Halal  ",$$  
US Pizza Company  ,"Little Rock, Arkansas  ",Italian  ,4.3,"Vegetarian,Halal  ",$  
The Pantry Restaurant  ,"Little Rock, Arkansas  ","European,Italian  ",4.5,"Vegetarian,Diary-Free  ",$$  
Maddie's Place  ,"Little Rock, Arkansas  ",Italian  ,4.6,"Kosher,Vegan,Nut-Free ",$$$  
Brave New Restaurant  ,"Little Rock, Arkansas  ",American  ,4.4,"Gluten-Free,Halal  ",$$$  
Petit & Keet  ,"Little Rock, Arkansas  ",American  ,4.7,"Vegetarian,Halal  ",$$$  
Table 28  ,"Little Rock, Arkansas  ","American,Italian  ",4.5,"Gluten-Free,Halal  ",$$$  
Arthur's Prime Steakhouse  ,"Little Rock, Arkansas  ","American,Steakhouse  ",4.6,"Kosher,Nut-Free ",$$$$  
Taco Mama  ,"Fayetteville, Arkansas  ",Mexican  ,4.4,"Vegetarian,Halal  ",$$  
The Oyster Bar  ,"Little Rock, Arkansas  ","Asian,Chinese  ",4.5,"Gluten-Free,Halal  ",$$$  
Kemuri  ,"Little Rock, Arkansas  ",Japanese  ,4.6,"Vegetarian,Vegan  ",$$  
The Pizzeria  ,"Little Rock, Arkansas  ","Italian,Indian  ",4.4,"Vegetarian,Halal  ",$$  
Capers  ,"Little Rock, Arkansas  ","American,Indian ",4.5,"Vegetarian,Halal  ",$$  
Ester's  ,"Little Rock, Arkansas  ",American  ,4.6,"Vegetarian,Halal  ",$$  
Mylo Coffee Co.  ,"Little Rock, Arkansas  ","Chinese,Asian",4.7,"Vegan,Nut-Free,Halal  ",$  
The Buttered Biscuit  ,"Bentonville, Arkansas  ","Chinese,Asian  ",4.6,"Vegetarian,Halal  ",$$  
Neighborhood Cafe  ,"Conway, Arkansas  ",American  ,4.5,"Vegetarian,Halal  ",$  
Catfish City,"Little Rock, Arkansas","Chinese,Asian,Thai",4.4,"Nut-Free,Diary-Free",$$
The French Laundry  ,"Yountville, California  ",European  ,4.3,"Vegetarian,Kosher,Halal ",$$$$  
Nobu Malibu  ,"Malibu, California  ",Japanese  ,4.8,"Gluten-Free,Nut-Free  ",$$$$  
Chez Panisse  ,"Berkeley, California  ","American,Steakhouse ",4.7,"Vegetarian,Vegan  ",$$$$  
Swan Oyster Depot  ,"San Francisco, California  ",Mexican  ,4.7,"Kosher,Halal  ",$$$  
Zuni Café  ,"San Francisco, California  ",Italian  ,4.6,"Vegetarian,Vegan  ",$$$  
The Slanted Door  ,"San Francisco, California  ",Asian ,4.5,"Vegetarian,Vegan  ",$$$  
Quince  ,"San Francisco, California  ",Italian  ,4.6,"Vegetarian,Gluten-Free  ",$$$$  
